Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1911783.045908328844	752199.874957493623	-1023976.986303901183	-392992.543582721264	0.372835892613	0.219745519323	0.094735709536
1979692.441564801848	777433.485162886209	-1008876.321493529133	-386511.770400148816	0.370299448666	0.225027509792	0.096143214163
2047601.837221274851	802489.630065474077	-993408.505265102256	-379932.659872814023	0.367595869882	0.230554761198	0.097631764317
2183420.628534220625	852008.638798721600	-961312.173098292202	-366458.634562747146	0.361398593194	0.242201550420	0.100827218936
2319239.419847166631	900595.454436197761	-927597.928811291233	-352535.372869744722	0.353808637197	0.254322593911	0.104232423505
2455058.211160112638	948042.880700986949	-892227.663348869653	-338142.041499960585	0.344581460768	0.266519106488	0.107728576220
2590877.002473058645	994118.661089672009	-855216.504426657804	-323274.308957653760	0.333595517120	0.278413935143	0.111194182627
2726695.793786004651	1038579.532763913390	-816629.892704248196	-307944.521041259170	0.320806859679	0.289652355642	0.114508846923
2953218.604812407866	1108477.662775476463	-749098.693239107728	-281435.806000980723	0.295594702300	0.305980330015	0.119356665258
3179741.415838811081	1172184.391319897491	-678347.977051764610	-253978.224943734676	0.266375136656	0.317820020786	0.122782921163
3406264.226865214296	1229012.052034901222	-605584.315182870603	-225972.819257065159	0.235153410593	0.323608145959	0.124117698307
3632787.037891617510	1278793.887854420580	-532268.186800758704	-197944.970364070206	0.204668006790	0.322711308831	0.122955874453
3859309.848918020725	1322026.430038576480	-459805.220159151417	-170445.066883312014	0.177829418944	0.316261987555	0.119505061432
3964794.294753788039	1340215.273192120017	-426657.837183664262	-157950.017181815841	0.167231999158	0.312131439031	0.117359350433
3964794.294753788039	1340215.273192119785	-426657.837183665368	-157950.017181816453	0.168553767785	0.315708533013	0.119267468047
3964794.294761693571	1340215.273193452274	-426657.837181169481	-157950.017180873547	0.168553767784	0.315708533013	0.119267468046
3964794.294777505100	1340215.273196117254	-426657.837176177709	-157950.017178987764	0.168553767783	0.315708533012	0.119267468046
3964794.294809127692	1340215.273201447446	-426657.837166194106	-157950.017175216199	0.168553767780	0.315708533011	0.119267468045
3964794.294872373343	1340215.273212107830	-426657.837146226957	-157950.017167673068	0.168553767774	0.315708533008	0.119267468044
3964794.294998864643	1340215.273233428365	-426657.837106292660	-157950.017152586806	0.168553767762	0.315708533003	0.119267468041
3964794.295251846779	1340215.273276069434	-426657.837026424007	-157950.017122414254	0.168553767738	0.315708532993	0.119267468036
3964794.295757811051	1340215.273361351574	-426657.836866686703	-157950.017062069150	0.168553767690	0.315708532972	0.119267468025
3964794.296769740060	1340215.273531916086	-426657.836547212151	-157950.016941378970	0.168553767595	0.315708532931	0.119267468004
3964794.298793597613	1340215.273873044876	-426657.835908262990	-157950.016699998581	0.168553767404	0.315708532849	0.119267467961
3964794.302841313183	1340215.274555302458	-426657.834630364727	-157950.016217237804	0.168553767023	0.315708532684	0.119267467874
3964794.310936743859	1340215.275919817854	-426657.832074568141	-157950.015251716279	0.168553766260	0.315708532355	0.119267467702
3964794.327127605677	1340215.278648848645	-426657.826962974970	-157950.013320673228	0.168553764735	0.315708531696	0.119267467357
3964794.359509328846	1340215.284106909996	-426657.816739788686	-157950.009458587127	0.168553761685	0.315708530379	0.119267466668
3964794.424272775184	1340215.295023032231	-426657.796293416235	-157950.001734414982	0.168553755583	0.315708527745	0.119267465289
3964794.553799668327	1340215.316855275771	-426657.755400671915	-157949.986286070955	0.168553743381	0.315708522476	0.119267462531
3964794.812853454147	1340215.360519757960	-426657.673615185311	-157949.955389383977	0.168553718977	0.315708511939	0.119267457016
3964795.330961025786	1340215.447848703479	-426657.510044220253	-157949.893596014270	0.168553670168	0.315708490864	0.119267445984
3964796.367176169530	1340215.622506518383	-426657.182902322849	-157949.770009292028	0.168553572550	0.315708448715	0.119267423922
3964798.439606457017	1340215.971821844811	-426656.528618659126	-157949.522835916112	0.168553377315	0.315708364417	0.119267379797
3964802.584467031527	1340216.670451283921	-426655.220051855722	-157949.028489438642	0.168552986847	0.315708195821	0.119267291548
3964810.874188181013	1340218.067705306923	-426652.602920345380	-157948.039797581034	0.168552205916	0.315707858627	0.119267115048
3964827.453630479984	1340220.862193932058	-426647.368665710441	-157946.062418255198	0.168550644079	0.315707184237	0.119266762046
3964860.612515077926	1340226.451093500480	-426636.900189983833	-157942.107677161432	0.168547520502	0.315705835441	0.119266056031
3964926.930284273811	1340237.628581925062	-426615.963372705854	-157934.198265207204	0.168541273738	0.315703137793	0.119264643955
3965059.565822665580	1340259.982316046255	-426574.090274868708	-157918.379722246027	0.168528781773	0.315697742267	0.119261819621
3965324.836899448652	1340304.684814343462	-426490.346226210939	-157886.743760224723	0.168503804088	0.315686950301	0.119256170230
3965855.379053014796	1340394.069938887609	-426322.866718088160	-157823.476332680963	0.168453873699	0.315665362738	0.119244868561
3966916.463360147085	1340572.760761618614	-425987.942067537108	-157696.959470710164	0.168354112825	0.315622173267	0.119222253744
3969038.631974411663	1340929.825196250342	-425318.230299168965	-157443.997775647091	0.168154990557	0.315535738379	0.119176978763
3971160.800588676240	1341286.467624788173	-424648.702037032461	-157191.132224973058	0.167956400639	0.315449231636	0.119131644393
3973282.969202940818	1341642.689176582498	-423979.357430131349	-156938.362943356420	0.167758342704	0.315362656321	0.119086251920
3975405.137817205396	1341998.490980174625	-423310.196620503732	-156685.690052728896	0.167560816356	0.315276015717	0.119040802637
3979649.475045735016	1342708.839852520265	-421972.426926436368	-156180.633918471431	0.167167356711	0.315102551741	0.118949738803
3988138.149502794258	1344124.550171497976	-419299.098583795130	-155171.683402582887	0.166386796127	0.314754984241	0.118766986259
4005115.498416912276	1346936.272239223821	-413961.307030827273	-153158.452391068306	0.164850979331	0.314058019173	0.118399271639
4022092.847331030294	1349722.204553927993	-408635.359466266527	-151151.485453316825	0.163348590437	0.313359986961	0.118029163308
4056047.545159266796	1355218.945788961137	-398018.986190345837	-147156.472662740125	0.160442113926	0.311967165581	0.117284402910
4090002.242987503298	1360619.166056874907	-387449.691127195663	-143186.791827830777	0.157662343250	0.310588976873	0.116537906092
4123956.940815739799	1365927.059181872522	-376926.778037822864	-139242.416214389552	0.155002638392	0.309237005920	0.115794681655
4191866.336472212803	1376281.331390107982	-356015.468817124260	-131428.654397855396	0.150009765445	0.306652310306	0.114336519518
4259775.732128685340	1386309.506608531578	-335272.769322008302	-123711.894796057022	0.145385067215	0.304280228003	0.112942509238
4327685.127785158344	1396033.566900147824	-314682.671331974503	-116086.911271611330	0.141038416345	0.302163168794	0.111636923072
4395594.523441631347	1405469.247046258999	-294227.149408552330	-108547.143170942814	0.136876952178	0.300318279434	0.110434762244
4531413.314754577354	1423507.514691068558	-253647.503431781894	-93694.074981198384	0.128769097727	0.297406299649	0.108357728885
4667232.106067523360	1440438.944526754087	-213404.571837529191	-79095.479038730307	0.120504350289	0.295322959389	0.106680668164
4803050.897380469367	1456217.545263951877	-173407.486810709728	-64702.761888247762	0.111738082996	0.293732648536	0.105311288085
4938869.688693415374	1470761.361642334610	-133611.635886216623	-50481.107749908726	0.102289763233	0.292294671835	0.104140410600
5074688.480006361380	1483970.263973271940	-94017.707623705806	-36410.797411425054	0.092072901605	0.290695157850	0.103059516127
5301211.291032764129	1502733.314962853212	-28563.961097763655	-13273.679739404351	0.073256764365	0.286850806379	0.101156142678
5527734.102059166878	1516997.250265533803	35731.642094446644	9370.904767921458	0.052502905802	0.280265520616	0.098621293481
5754256.913085569628	1526454.457761273487	98084.828463055252	31307.343022362471	0.031113696853	0.269598056194	0.094843546224
5980779.724111972377	1531258.898376540514	157504.256474188995	52207.544515855589	0.011713672229	0.254387735085	0.089453177403
6082714.989073853940	1532073.674127581762	183029.587546860479	61179.593263038943	0.004418444986	0.246322290760	0.086537757679
6184650.254035735503	1532201.403995629167	207707.091053348995	69842.771275416482	-0.001706311735	0.237794616634	0.083404815998
6230022.405017819256	1532070.396840152331	218408.634618806565	73594.448368326528	-0.004025330163	0.233924226951	0.081965342192
6230022.405017819256	1532070.396840151865	218408.634618807933	73594.448368327547	-0.002469249262	0.234412453590	0.081919420378
6230022.405025725253	1532070.396840132307	218408.634620661120	73594.448368975180	-0.002469249262	0.234412453589	0.081919420378
6230022.405041536316	1532070.396840093192	218408.634624367493	73594.448370270446	-0.002469249263	0.234412453588	0.081919420377
6230022.405073159374	1532070.396840015193	218408.634631780267	73594.448372860963	-0.002469249265	0.234412453585	0.081919420376
6230022.405136404559	1532070.396839858964	218408.634646605817	73594.448378041998	-0.002469249268	0.234412453580	0.081919420374
6230022.405262895860	1532070.396839546738	218408.634676256916	73594.448388404082	-0.002469249274	0.234412453569	0.081919420370
6230022.405515878461	1532070.396838922054	218408.634735559084	73594.448409128236	-0.002469249286	0.234412453547	0.081919420362
6230022.406021842733	1532070.396837672684	218408.634854163451	73594.448450576543	-0.002469249310	0.234412453504	0.081919420346
6230022.407033771276	1532070.396835173946	218408.635091372184	73594.448533473173	-0.002469249359	0.234412453418	0.081919420313
6230022.409057629295	1532070.396830176469	218408.635565789620	73594.448699266417	-0.002469249457	0.234412453244	0.081919420249
6230022.413105344400	1532070.396820181748	218408.636514624523	73594.449030852920	-0.002469249652	0.234412452898	0.081919420120
6230022.421200775541	1532070.396800192073	218408.638412294327	73594.449694025912	-0.002469250043	0.234412452206	0.081919419861
6230022.437391636893	1532070.396760212723	218408.642207633879	73594.451020371896	-0.002469250825	0.234412450822	0.081919419345
6230022.469773360528	1532070.396680254024	218408.649798312952	73594.453673063850	-0.002469252388	0.234412448054	0.081919418311
6230022.534536806867	1532070.396520336624	218408.664979670808	73594.458978447641	-0.002469255515	0.234412442518	0.081919416244
6230022.664063699543	1532070.396200501127	218408.695342385443	73594.469589214830	-0.002469261769	0.234412431445	0.081919412110
6230022.923117485829	1532070.395560827805	218408.756067810406	73594.490810747608	-0.002469274277	0.234412409299	0.081919403842
6230023.441225057468	1532070.394281471614	218408.877518643130	73594.533253806730	-0.002469299292	0.234412365007	0.081919387306
6230024.477440200746	1532070.391722720349	218409.120420239720	73594.618139899278	-0.002469349323	0.234412276424	0.081919354233
6230026.549870488234	1532070.386605062289	218409.606223157520	73594.787911981577	-0.002469449383	0.234412099258	0.081919288088
6230030.694731063209	1532070.376369124278	218410.577827891655	73595.127455734924	-0.002469649503	0.234411744926	0.081919155798
